"ID","Accuracy","Sensitivity","Specificity","F1-score","Geo-mean"
"Akt.0.7.0.6","95.9955779388282","72.9257641921397","96.6632962588473","50.6060606060606","53.156954961784"
"mTOR.0.7.0.6","86.295476892822","46.353322528363","93.4366850188351","50.6418769366976","50.8600187853985"
"Akt.0.7.0.7","96.364083036482","43.6681222707424","97.8892821031345","40.3225806451613","40.441441584173"
"mTOR.0.7.0.7","81.1332350049164","63.3711507293355","84.308895972182","50.4678928686673","51.5477549329178"
"Akt.0.7.0.8","88.9202800638742","50.2183406113537","90.0404448938321","20.3180212014134","25.2892659730522"
"mTOR.0.7.0.8","81.9690265486726","55.4294975688817","86.7139959432049","48.2539682539683","48.6634456161159"
"Akt.0.7.0.9","93.3177742292102","65.938864628821","94.1102123356926","35.6973995271868","40.1713682417013"
"mTOR.0.7.0.9","80.1007866273353","49.1896272285251","85.6273543900319","42.8521002470879","43.2122499364767"
"Akt.0.7.1","97.420464316423","30.5676855895196","99.3554095045501","40","42.052092756233"
"mTOR.0.7.1","79.3879056047198","54.5380875202593","83.8307736887859","44.5253059874297","45.2952138166638"
"Akt.0.8.0.6","97.899520943373","72.0524017467249","98.6476238624874","65.8682634730539","66.1122215725166"
"mTOR.0.8.0.6","85.1647000983284","54.3760129659643","90.6693711967546","52.6480972930561","52.6746991597604"
"Akt.0.8.0.7","97.8135364205872","68.9956331877729","98.6476238624874","63.9676113360324","64.138147020872"
"mTOR.0.8.0.7","86.7379547689282","60.129659643436","91.495218777166","57.9008973858759","57.9407129691219"
"Akt.0.8.0.8","91.9051713548704","44.1048034934498","93.288675429727","23.4610917537747","26.5488120810983"
"mTOR.0.8.0.8","91.1627335299902","64.4246353322528","95.9432048681542","68.8609787786921","69.024825388552"
"Akt.0.8.0.9","98.0469229824346","57.6419213973799","99.216380182002","62.4113475177305","62.6260939343275"
"mTOR.0.8.0.9","92.6868239921337","66.2074554294976","97.4210373804694","73.3064154329296","73.7314774190912"
"Akt.0.8.1","92.826434099005","46.2882096069869","94.1734074823054","26.6331658291457","29.4168790355828"
"mTOR.0.8.1","92.8834808259587","82.4149108589951","94.755143436685","77.841561423651","77.9616891205496"
"Akt.0.9.0.6","91.3278467018794","46.7248908296943","92.6188068756319","23.2608695652174","26.8984350084015"
"mTOR.0.9.0.6","93.0678466076696","73.095623987034","96.6386554621849","76.1824324324324","76.2504533980823"
"Akt.0.9.0.7","97.3958973099128","84.2794759825327","97.7755308392315","64.5484949832776","66.3936255483126"
"mTOR.0.9.0.7","85.3244837758112","57.6175040518639","90.2781802376123","54.3577981651376","54.4449996513796"
"Akt.0.9.0.8","90.6522540228473","50.2183406113537","91.8225480283114","23.2088799192735","27.5297719307625"
"mTOR.0.9.0.8","89.1838741396264","68.2333873581848","92.9295856273544","65.6786271450858","65.7247119130964"
"Akt.0.9.0.9","97.3836138066576","68.9956331877729","98.2052578361982","59.7353497164461","60.2807599036047"
"mTOR.0.9.0.9","79.1789577187807","48.2171799027553","84.7145754853666","41.2621359223301","41.6982101513558"
"Akt.0.9.1","90.8610735781845","44.1048034934498","92.2143579373104","21.3530655391121","24.9255100929646"
"mTOR.0.9.1","86.6027531956736","55.6726094003241","92.1327151550275","55.762987012987","55.7630604906725"
"Akt.0.95.0.6","97.3467632968923","64.6288209606987","98.293731041456","57.8125","58.136750880073"
"mTOR.0.95.0.6","86.3692232055064","47.4068071312804","93.335265140539","51.3383062746819","51.515763529605"
"Akt.0.95.0.7","93.2195062031691","40.6113537117904","94.74216380182","25.2032520325203","27.2399506359252"
"mTOR.0.95.0.7","83.5668633235005","51.7017828200972","89.2639814546508","48.8327592805205","48.9081196252809"
"Akt.0.95.0.8","94.3618720058961","44.9781659388646","95.7912032355915","30.9774436090226","32.5968954018654"
"mTOR.0.95.0.8","82.7925270403147","43.1118314424635","89.88698927847","43.1818181818182","43.1818750815688"
"Akt.0.95.0.9","91.0453261270114","42.7947598253275","92.4418604651163","21.1891891891892","24.5472991201121"
"mTOR.0.95.0.9","88.8765978367748","92.0583468395462","88.3077368878586","71.5140069247718","73.3642278879403"
"Akt.0.95.1","97.8503869303525","78.6026200873362","98.407482305359","67.2897196261682","67.9976730083404"
"mTOR.0.95.1","87.4139626352016","50.4862236628849","94.0162271805274","54.8898678414097","55.0998718912326"
